Page URL,Page Title,Description,Availability,Access,Related Services,Related Links,Summarized Description,Update Date
https://www.hmc.edu/cis/services/feed/,,,,,,,,
https://www.hmc.edu/cis/services/,CIS Services A-Z,,,,,,,
https://www.hmc.edu/cis/services/,CIS Services A-Z,,,,,,,
https://www.hmc.edu/cis/services/cis-services-by-category/,CIS Services by Category,,,,,,,
https://www.hmc.edu/cis/services/faqs/,CIS Services FAQs,,,,,,,
https://www.hmc.edu/cis/services/academic-advisory-system/,Academic Advisory System,"Academic Advisories are sent via email and automatically copied to the instructor, the student’s advisors, and the Office of Academic Affairs. The Academic Affairs Committee tracks all advisories and the Associate Dean for Academic Affairs will meet with any student who receives two or more advisories. While often used when there is a concern (e.g., missing paper/HW, poor attendance, or performance on the exam), advisories are also used to send encouraging notes (e.g., great improvement or performance on an exam). The advisory system is also an effective formal way to call a conference with the student.",Available to faculty and emeritus at HMC.,"The Academic Advisory System can be accessed by logging into the HMC Portal and looking in the Faculty tab.
Selecting a course takes you to a class list from which you can select one or more students. The next step allows you to enter any additional personalized comments and/or request a conference with the student(s). Finally, you’ll be able to preview the notices before they are sent.","<a href=""https://www.hmc.edu/cis/services/hmc-credentials/"">HMC Credentials</a>, <a href=""https://www.hmc.edu/cis/services/portal-faculty-usage/"">Portal: Faculty Usage</a>, <a href=""https://www.hmc.edu/cis/services/portal-local-and-5c-modifications/"">Portal: Local and 5-C Modifications</a>, <a href=""https://www.hmc.edu/cis/services/portal-student-usage/"">Portal: Student Usage</a>",,"The academic advisory system is used to send emails to students regarding concerns or encouraging notes. These advisories are automatically copied to the instructor, student's advisors, and the Office of Academic Affairs. The Academic Affairs Committee keeps track of all advisories and the Associate Dean for Academic Affairs will meet with students who receive two or more advisories. Advisories can be used for concerns such as missing assignments or poor performance, but they can also be used to send positive notes about improvements or good exam performance. The advisory system can also be used to schedule conferences with students.",10/27/2023
https://www.hmc.edu/cis/services/academic-and-scientific-software-support/,Academic and Scientific Software Support,"CIS maintains campus-wide license agreements for popular academic software packages including MATLAB, Mathematica, Wolfram Alpha Pro, Maple and more. Installation and licensing information can be obtained by contacting the HMC Helpdesk. Users can install the software on their system or visit either of the CIS maintained computer labs in the LAC or Sprague first floor to use the software.
If you are taking a course at another campus and the professor is using software that HMC doesn’t license, the IT support group at that campus can help you obtain the software. Our HelpDesk can facilitate that request on your behalf if needed.
Additionally, the Academic &amp; Research Computing Services (ARCS) group provides technical and advisory support for the following scientific software:
Mathematical Software: MATLAB, Mathematica, Maple, ODE Architect
Programming Software: Anaconda, Jupyter, Python packages
Statistical Software: R, RStudio, Tableau
Scientific and Engineering Software: COMSOL, Materials Studio, Gaussian, GROMACS
High Performance Computing Software/Library: MPI, OpenMP, GPGPU
We can also research new specialized (scientific) software on demand, and provide recommendations or “best effort” support on the selection and the use of new specialized software. We regularly provide seminars and workshops on some of the specialized scientific software.","Available to faculty, students, and staff at HMC.","Academic software packages are installed on all systems in CIS maintained computer labs. Our license also allows for installation on personal systems for HMC related use. Please visit our FAQ (Google Doc) for detailed installation and activation instructions for Maple, Mathematica, and Matlab. Please note that you can access Mathematica online and Matlab online.
Please contact the CIS Help Desk at 909.607.7777, send an email to helpdesk@hmc.edu, or chat with us online at helpdesk.hmc.edu if you need any further assistance with accessing any software.","<a href=""https://www.hmc.edu/cis/services/computer-labs/"">Computer Labs</a>, <a href=""https://www.hmc.edu/cis/services/high-performance-computing-support/"">High Performance Computing Support</a>, <a href=""https://www.hmc.edu/cis/services/lab-software/"">Lab Software in CIS Managed Labs and Carts</a>","<a href=""https://docs.google.com/document/d/1-dmjftyCPrAWVC4g5OvJ4mv9C1jUWgiwmJVQw4iSR5w/edit"">How can I Install academic software (Maple, Mathematica, Matlab) on my system?</a>, <a href=""http://pages.hmc.edu/wolfram/index.html"">Wolfram: Mathematica at Harvey Mudd College</a>","CIS maintains campus-wide license agreements for popular academic software packages including MATLAB, Mathematica, Wolfram Alpha Pro, Maple and more. Installation and licensing information can be obtained by contacting the HMC Helpdesk. Users can install the software on their system or visit either of the CIS maintained computer labs in the LAC or Sprague first floor to use the software.

If you are taking a course at another campus and the professor is using software that HMC doesn’t license, the IT support group at that campus can help you obtain the software. Our HelpDesk can facilitate that request on your behalf if needed.

Additionally, the Academic & Research Computing Services (ARCS) group provides technical and advisory support for the following scientific software:

Mathematical Software: MATLAB, Mathematica, Maple, ODE Architect
Programming Software: Anaconda, Jupyter, Python packages
Statistical Software: R, RStudio, Tableau
Scientific and Engineering Software: COMSOL, Materials Studio, Gaussian, GROMACS
High Performance Computing Software/Library: MPI, OpenMP, GPGPU

We can also research new specialized (scientific) software on demand, and provide recommendations or “best effort” support on the selection and the use of new specialized software. We regularly provide seminars and workshops on some of the specialized scientific software.",10/27/2023
https://www.hmc.edu/cis/services/adobe-acrobat/,Adobe Acrobat,"Acrobat Pro DC includes Acrobat desktop software, the Acrobat Reader mobile app enhanced with premium mobile features, and premium Adobe Acrobat online services. Some of these features include:
Productivity on the go: Access to the mobile app services lets you create, edit, export, organize, share or sign PDFs. You can also start a task on one device and resume your work on another. 
Scan documents: Use your mobile device camera to take a picture of a paper document and convert it into a PDF.
Create protected PDFs: Add restrictions to prevent others from copying, editing, or printing sensitive information.
Export PDFs to Office: Convert PDFs to Word, Excel, or PowerPoint formats while preserving fonts, formatting, and layouts.
Work with Dropbox, Box, Google Drive, and OneDrive: Access, edit, share, and store files in your Dropbox, Box, Google Drive, or Microsoft OneDrive account while working in Acrobat Pro.
Sign anything from anywhere: Fill, sign, and send forms fast from anywhere with smart autofill.
Delete sensitive information: Find and get rid of the text, images, or even metadata—permanently.
Adobe Sign
Our Acrobat Pro DC licensing includes <a href=""https://helpx.adobe.com/acrobat/using/signing-pdfs.html"">PDF and e-signing tools. However, this differs from <a href=""https://www.adobe.com/sign.html"">Acrobat Sign, a more robust e-signature service that allows users to send, sign, track, and manage signature processes using a browser or mobile device. We do not have the license for Acrobat Sign at this time.",Available to all faculty and staff at HMC.,"If you’d like a license, please email helpdesk@hmc.edu. Please note that if you only need to read PDF files, you can download Acrobat Reader, which is free to use.",,"<a href=""https://docs.google.com/document/d/e/2PACX-1vRqCB7R4bZ2lV_YrHSWajeTKZ-oWkJDuF4leq6iDX2lwZukz5RNis5YMjokE6Z_eFdGx6fWRHZntmqP/pub"">How to sign into Adobe Acrobat Pro DC with your licensed HMC account</a>, <a href=""https://helpx.adobe.com/download-install/kb/download-install-acrobat-subscription.html"">Download link for Adobe Acrobat Pro DC (license required)</a>","Acrobat Pro DC is a software package that includes Acrobat desktop software, the Acrobat Reader mobile app with premium mobile features, and premium Adobe Acrobat online services. It offers various features such as productivity on the go, document scanning, creating protected PDFs, exporting PDFs to Office formats, integration with cloud storage services, signing forms from anywhere, and deleting sensitive information. However, it's important to note that while Acrobat Pro DC includes PDF and e-signing tools, it does not include Acrobat Sign, a more comprehensive e-signature service.",10/27/2023
https://www.hmc.edu/cis/services/anki-flash-cards/,Anki Flash Cards,"Anki is a free, open source application that allows you to create flash cards in order to quickly memorize information. Both a desktop and mobile versions are available. You can also create an account on the Anki website that allows you to synchronize your flashcards between your desktop and mobile apps.
At HMC, faculty are very interested in learning the names and faces of all of the students in their classes. In order to support that CIS creates an Anki flash card file that contains the names and faces of all current HMC students. The cards are also tagged with the students’ class year, major, advisors, and state/country of origin. We do not include tags for courses due to FERPA concerns, but faculty are free to add their own tags.","HMC faculty, staff and students can access this service, although it is primarily intended for faculty.",To access this service please download the Anki file listed in the Related Links section below and follow the instructions in the Quick Guide to Installing Anki to install Anki and import the file.,"<a href=""https://www.hmc.edu/cis/services/mudd-shots/"">Mudd Shots</a>","<a href=""https://goo.gl/UC3Za8"">Quick Guide to Installing Anki</a>, <a href=""https://drive.google.com/file/d/1hLwMvtS1bU05ywUe2CDE1fbacMPefdzj/view?usp=sharing"">Anki File for 2022-2023</a>","Anki is a free, open source application that allows you to create flash cards in order to quickly memorize information. Both a desktop and mobile versions are available. You can also create an account on the Anki website that allows you to synchronize your flashcards between your desktop and mobile apps.
At HMC, faculty are very interested in learning the names and faces of all of the students in their classes. In order to support that CIS creates an Anki flash card file that contains the names and faces of all current HMC students. The cards are also tagged with the students’ class year, major, advisors, and state/country of origin. We do not include tags for courses due to FERPA concerns, but faculty are free to add their own tags.

[Anki](https://apps.ankiweb.net/)",10/27/2023
https://www.hmc.edu/cis/services/audiovisual-event-support/,Audiovisual Event Support,"CIS provides AV support for classes, meetings, and events on the HMC campus. Please note that reserving a room for an event and requesting AV support are two separate requests. To reserve an event space, please use the <a href=""http://www.google.com/url?q=http%3A%2F%2Femsweb.claremont.edu%2FHMC%2F&amp;sa=D&amp;sntz=1&amp;usg=AFrqEzcPCBZhOiwHqkoaeksh8fSYjqPNcQ"">EMS website. To request an AV setup, please use our <a href=""https://hmc.kualibuild.com/app/builder/app/64791a1f349df80208a9be0b/start"" target=""_blank"" rel=""noreferrer noopener"">AV request form.
Most classrooms and meeting rooms on campus have built-in AV equipment, designed to be as self-service as possible. All classrooms in the Shanahan Center have at least one video display. Some classrooms have additional equipment such as DVD players and Document Cameras. CIS maintains a <a href=""http://goo.gl/4Mj1Nx"">list of AV equipment in class/meeting rooms. (You’ll need to be logged in to g.hmc.edu to view this page).
For on campus meetings, CIS can provide additional equipment such as portable projectors, conference phones, laptops, VHS/DVD/Bluray players, and conference mic systems with optional audio recording.
For large campus events, CIS can provide additional services including dedicated tech/AV support, portable sound systems, background music, PA microphones, live music support, and video recording. Once an AV request is received, someone from CIS will work with you in planning and staffing the events’ AV needs. Please notify CIS well in advance for large scale events.
CIS can also provide training on all AV equipment we have on campus.",Available to faculty and staff at HMC.,"If you would like to request an AV setup, please use our AV request form. CIS staff will respond within 24 hours confirming the event and what equipment and staffing will be provided.
To report a problem with audiovisual equipment, please contact the Help Desk at helpdesk@hmc.edu or 909.607.7777.","<a href=""https://www.hmc.edu/cis/services/classroom-technologies-2016/"">Classroom Technologies</a>, <a href=""https://www.hmc.edu/cis/services/lecture-capture/"">Lecture Capture</a>","<a href=""http://goo.gl/4Mj1Nx"">AV Equipment in HMC Class/Meeting Rooms</a>, <a href=""https://hmc.kualibuild.com/app/builder/app/64791a1f349df80208a9be0b/start"">AV Request Form</a>","CIS (Computing and Information Services) provides AV support for classes, meetings, and events on the HMC campus. To reserve an event space, use the EMS website. To request an AV setup, use the AV request form. Most classrooms and meeting rooms have built-in AV equipment. CIS maintains a list of AV equipment in class/meeting rooms. For on-campus meetings, CIS can provide additional equipment such as projectors, conference phones, laptops, and more. For large campus events, CIS can provide dedicated tech/AV support, sound systems, microphones, and video recording. CIS also offers training on campus AV equipment.",10/27/2023
