service,description
Academic Advisory System,"Academic Advisories are sent via email and automatically copied to the instructor, the student’s advisors, and the Office of Academic Affairs. The Academic Affairs Committee tracks all advisories and the Associate Dean for Academic Affairs will meet with any student who receives two or more advisories. While often used when there is a concern (e.g., missing paper/HW, poor attendance, or performance on the exam), advisories are also used to send encouraging notes (e.g., great improvement or performance on an exam). The advisory system is also an effective formal way to call a conference with the student."
Academic and Scientific Software Support,"CIS maintains campus-wide license agreements for popular academic software packages including MATLAB, Mathematica, Wolfram Alpha Pro, Maple and more. Installation and licensing information can be obtained by contacting the HMC Helpdesk. Users can install the software on their system or visit either of the CIS maintained computer labs in the LAC or Sprague first floor to use the software.
If you are taking a course at another campus and the professor is using software that HMC doesn’t license, the IT support group at that campus can help you obtain the software. Our HelpDesk can facilitate that request on your behalf if needed.
Additionally, the Academic &amp; Research Computing Services (ARCS) group provides technical and advisory support for the following scientific software:
Mathematical Software: MATLAB, Mathematica, Maple, ODE Architect
Programming Software: Anaconda, Jupyter, Python packages
Statistical Software: R, RStudio, Tableau
Scientific and Engineering Software: COMSOL, Materials Studio, Gaussian, GROMACS
High Performance Computing Software/Library: MPI, OpenMP, GPGPU
We can also research new specialized (scientific) software on demand, and provide recommendations or “best effort” support on the selection and the use of new specialized software. We regularly provide seminars and workshops on some of the specialized scientific software."
Adobe Acrobat,"Acrobat Pro DC includes Acrobat desktop software, the Acrobat Reader mobile app enhanced with premium mobile features, and premium Adobe Acrobat online services. Some of these features include:
Productivity on the go: Access to the mobile app services lets you create, edit, export, organize, share or sign PDFs. You can also start a task on one device and resume your work on another. 
Scan documents: Use your mobile device camera to take a picture of a paper document and convert it into a PDF.
Create protected PDFs: Add restrictions to prevent others from copying, editing, or printing sensitive information.
Export PDFs to Office: Convert PDFs to Word, Excel, or PowerPoint formats while preserving fonts, formatting, and layouts.
Work with Dropbox, Box, Google Drive, and OneDrive: Access, edit, share, and store files in your Dropbox, Box, Google Drive, or Microsoft OneDrive account while working in Acrobat Pro.
Sign anything from anywhere: Fill, sign, and send forms fast from anywhere with smart autofill.
Delete sensitive information: Find and get rid of the text, images, or even metadata—permanently.
Adobe Sign
Our Acrobat Pro DC licensing includes <a href=""https://helpx.adobe.com/acrobat/using/signing-pdfs.html"">PDF and e-signing tools. However, this differs from <a href=""https://www.adobe.com/sign.html"">Acrobat Sign, a more robust e-signature service that allows users to send, sign, track, and manage signature processes using a browser or mobile device. We do not have the license for Acrobat Sign at this time."
Anki Flash Cards,"Anki is a free, open source application that allows you to create flash cards in order to quickly memorize information. Both a desktop and mobile versions are available. You can also create an account on the Anki website that allows you to synchronize your flashcards between your desktop and mobile apps.
At HMC, faculty are very interested in learning the names and faces of all of the students in their classes. In order to support that CIS creates an Anki flash card file that contains the names and faces of all current HMC students. The cards are also tagged with the students’ class year, major, advisors, and state/country of origin. We do not include tags for courses due to FERPA concerns, but faculty are free to add their own tags."
Audiovisual Event Support,"CIS provides AV support for classes, meetings, and events on the HMC campus. Please note that reserving a room for an event and requesting AV support are two separate requests. To reserve an event space, please use the <a href=""http://www.google.com/url?q=http%3A%2F%2Femsweb.claremont.edu%2FHMC%2F&amp;sa=D&amp;sntz=1&amp;usg=AFrqEzcPCBZhOiwHqkoaeksh8fSYjqPNcQ"">EMS website. To request an AV setup, please use our <a href=""https://hmc.kualibuild.com/app/builder/app/64791a1f349df80208a9be0b/start"" target=""_blank"" rel=""noreferrer noopener"">AV request form.
Most classrooms and meeting rooms on campus have built-in AV equipment, designed to be as self-service as possible. All classrooms in the Shanahan Center have at least one video display. Some classrooms have additional equipment such as DVD players and Document Cameras. CIS maintains a <a href=""http://goo.gl/4Mj1Nx"">list of AV equipment in class/meeting rooms. (You’ll need to be logged in to g.hmc.edu to view this page).
For on campus meetings, CIS can provide additional equipment such as portable projectors, conference phones, laptops, VHS/DVD/Bluray players, and conference mic systems with optional audio recording.
For large campus events, CIS can provide additional services including dedicated tech/AV support, portable sound systems, background music, PA microphones, live music support, and video recording. Once an AV request is received, someone from CIS will work with you in planning and staffing the events’ AV needs. Please notify CIS well in advance for large scale events.
CIS can also provide training on all AV equipment we have on campus."
A Bite of Learning Service,"A Bite of Learning is a lunchtime speaker series sponsored by the Harvey Mudd College Computing and Information Services Department in collaboration with the Library of The Claremont Colleges. The series’ purpose is to foster innovation in the use of technology in teaching, learning, and research. Presentations are informal with plenty of time for discussion and Q&amp;A."
Canvas Support,"Canvas is the Course Management System being adopted by all of The Claremont Colleges over the next couple of years. All faculty and students teaching or enrolled in courses on Canvas have accounts on Canvas. Each college has their own instance of Canvas, but the colleges have implemented a Federated Trust between all of our instances of Canvas that allows users to see any courses they might be enrolled in at any of the other colleges from their home instance of Canvas. Please see <a href=""https://docs.google.com/document/d/e/2PACX-1vTgMrNhWqMnEV6tqmR_xQr2V4f2RanhlBwBVK8R8aw-z0qOyilGX0AQ0834TbENqaRyngsfZvGPyxAp/pub"">Canvas at The Claremont Colleges for a list of all of the instances of Canvas at The Claremont Colleges. CIS provides support for Canvas including help with accounts and passwords as well consultation on how and when to use specific Canvas tools, help on how to use specific tools, and training on Canvas in the form of workshops and one-on-one training.
Course sites are created automatically for all courses each semester and become available to faculty immediately. Students can see their courses up to two weeks before classes start as long as the instructor has published the site. Canvas course sites are created for each individual section of a course. If the instructor wishes to combine all or some of the sections into one site, please send an email to the CIS Help Desk at <a href=""mailto:helpdesk@hmc.edu"">helpdesk@hmc.edu."
Classroom Technologies,"At HMC, there are several Class and Meeting Rooms that contain different levels of classroom technology. A list of these rooms and their technology can be found here: <a href=""http://goo.gl/4Mj1Nx"">AV Equipment in HMC Class/Meeting Rooms.
All classrooms in the Shanahan Center for Teaching and Learning (SCTL) have AV controls to enable a user to project from a VGA or HDMI source. <a href=""https://drive.google.com/file/d/0B3M48dV5JsLVYUZqb2J4bGg1VDQ/view?usp=sharing"">User Guides are provided in each room to aid in the use of the room.
SCTL Technology Rich Classrooms (SCTL 2450, 2454, 2460) allow the Academic &amp; Research Computing Services Team (ARCS) to work with faculty and students on new technologies that we want to test at HMC. These rooms are designed to be flexible in their AV hardware, software, and control systems. If there are any technologies that you feel would be good to try in these rooms, please feel free to email the team at helpdesk@hmc.edu. Below are some additional technologies that can be found in these tech rich rooms.
<a href=""https://www.hmc.edu/cis/services/smartboard/"">Smartboard
<a href=""https://docs.google.com/document/d/1iyswbxlkxtyMu0_tpUPNCSovaDcR5_aYAU6q694D7Gc/edit?usp=sharing"">Wireless Projection – AppleTV (2454/2460) or MS WiDi adapter (2450)
Bluray/DVD player
Document Camera
Simulcast
Simulcasting is available in the SCTL Lecture Hall, Recital Hall, B460, and Technology Rich Classrooms. Simulcast is used to accommodate events too large for any single space by transmitting video and audio from one room to any number of the other simulcast capable rooms."
Cognos Reporting: Account Management,"Account management is provided for Cognos users: Assigning privileges, capabilities, and access to Cognos reporting software and its various features."
Cognos Reporting: Training and Usage Support,Training and documentation are available to HMC faculty and staff Cognos users.
